# A_V dust_index
0.013253 -0.571280
0.032831 -0.557780
0.056928 -0.544044
0.079518 -0.528479
0.102108 -0.514205
0.129217 -0.498009
0.153313 -0.479773
0.183434 -0.459372
0.213554 -0.438440
0.243675 -0.416928
0.270783 -0.396618
0.299398 -0.377694
0.326506 -0.354390
0.352108 -0.334366
0.380723 -0.311720
0.407831 -0.290575
0.434940 -0.273218
0.459036 -0.257684
0.486145 -0.239546
0.516265 -0.223312
0.547892 -0.209117
0.578012 -0.197057
0.608133 -0.182359
0.638253 -0.169897
0.669880 -0.159814
0.698494 -0.149521
0.728614 -0.133874
0.757229 -0.123273
0.790361 -0.109818
0.825000 -0.096104
0.859639 -0.082121
0.900301 -0.065025
0.940964 -0.053387
0.983133 -0.047542
1.022289 -0.038611
1.055422 -0.035626
1.091566 -0.035626
1.126205 -0.032641
1.159337 -0.032641
1.196988 -0.035626
1.231627 -0.029643
1.263253 -0.026594
1.293373 -0.026594
1.320482 -0.023546
1.343072 -0.023546
